"18/05/17 01:05:25","fairymagic13",,"RT @RealRBHJr: Hillary will no doubt now argue she mishandled classified docs for ""humanitarian"" reasons, but let's be clear:… "
"18/05/17 01:05:29","Mrr_Presidentt","Folsom, PA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:05:56","burlybutton",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:06:14","Overcome64","High altitude dweller in PA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:06:40","Tebo1146","Florida","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:07:15","DeplorableShar1","Atlanta, GA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:07:18","JackBones10",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:07:28","inartic","United States","RT @AlleyMb: @Rachael_Swindon https://t.co/JaGASLbTcm"
"18/05/17 01:07:39","DRM4GOD","USA","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:08:03","CragarIsN2NA","Winfield, MO","@CBSEveningNews Says the #Republican, #LeftistTerror #cocreator who conspired to fund and support #ISISちゃん with his… https://t.co/Uj89kni1vb"
"18/05/17 01:08:07","wirlywoo","Stratford, Ontario","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:08:13","Hugh_Mungus95","Canada","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:08:29","dumpobama",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:09:00","8840Drew","Strong Island New York","RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
"18/05/17 01:09:25","Work4Trumpster",,"RT @JackPosobiec: IRS
ISIS 
Benghazi
Bergdahl
Hillary server
Iran nuke deal
Fast and Furious
Spying on journalists
Spying on Senators… "
